Lieu@Sujet@Référence@Site@Lien
Afrique - Toulouse@Père Aloys, une oeuvre française en Éthiopie@L'Ami du peuple, 23 avr. 1930, p. 2/6 col 5@RETRONEWS@https://www.retronews.fr/journal/lami-du-peuple/23-avril-1930/2/4f12ce13-b03f-4122-8b29-e9d3c26be5b2?search_text=P%C3%A8re+Aloys&full_expression=true
Angers@Agression nocturne - 4 femmes arrêtées - Godet (f. Barraut) née La Chapelle-Largeau@Le Petit Courrier - 1917/02/22 - pg 3 - col 1@RETRONEWS@https://www.retronews.fr/journal/le-petit-courrier/22-fevrier-1917/3/09691e53-3803-43ea-89f4-a1bf91b8900c?search_text=Chapelle-Largeau
Barbinière@Gabillaud@Mémoires / Société historique et scientifique des Deux-Sèvres- 1911/01/01 pg24@GALLICA@https://gallica.bnf.fr/ark:/12148/bpt6k2087095/f24
Beaulieu-sous-Bressuire@Locomobile, explosion@ 	L'Ouest-Éclair - 1934/07/31 pg 1@RETRONEWS@https://www.retronews.fr/journal/l-ouest-eclair-rennes/31-juillet-1934/77/114355/1
Bressuire - Chatillon-sur-Sèvre@Maisons détruites guerre vendée exempt contribution foncière,1804@Corps du droit français, ou Recueil complet des lois... - pg 472@GALLICA@https://gallica.bnf.fr/ark:/12148/bpt6k9770755t/f482
Bressuire - Chatillon-sur-Sèvre@Souvenirs de l'ouest, guerre vendée@La Quotidienne - 1838/0=11/07 - pg1 - bas de page@RETRONEWS@https://www.retronews.fr/journal/la-quotidienne/7-novembre-1838/737/2254679/1
Bressuire - La Chapelle-Largeau@prison, Claudeau, Guerry, Graveleau, tribunal @L?Écho rochelais - 1903/06/17@RETRONEWS@https://www.retronews.fr/journal/l-echo-rochelais/17-juin-1903/621/1662265/3
Bressuire - arrondissement@Tableau NMD 1835@Le Mémorial des Deux-Sèvres - 1836/03/06  - Vue 2 - col 2@Archives Départementales Deux-Sèvres@https://archives-deux-sevres-vienne.fr/ark:/58825/vta5425a9394a68b1bc/daogrp/0/2
Canton Chatillon - Mauléon@Autorisation approvisionnement tabac Cholet@Rapports et délibérations / Conseil général des Deux-Sèvres - 1880-08@GALLICA@https://gallica.bnf.fr/ark:/12148/bpt6k6152829p/f724.item.r=Moulins
Canton Chatillon - Mauléon@Projet remaniement circonscriptions médicales Barrion médecin@Rapports et délibérations / Conseil général des Deux-Sèvres - 1881-04@GALLICA@https://gallica.bnf.fr/ark:/12148/bpt6k6150378t/f85.item.r=Moulins
Canton Chatillon - Mauléon@Santé, médecine, maladies (voir statistiques pages précédentes)@Rapports et délibérations / Conseil général des Deux-Sèvres - 1883-08@GALLICA@https://gallica.bnf.fr/ark:/12148/bpt6k61556933/f506.item.r=Moulins
Canton Châtillon-sur-Sèvre - Mauléon@Association catholique de la jeunesse française A.C.J.F. - Congrès@La Croix - 1905/01/25 - Pg 3 - Col 2@RETRONEWS@https://www.retronews.fr/journal/la-croix/25-janvier-1905/3/fe2db556-04e9-4fe9-88ed-9b67b45461f0?search_text=ch%C3%A2tillon-sur-s%C3%A8vre
Canton Châtillon-sur-Sèvre - Mauléon@Riche fermier - Suicide raté - domestique @La Semaine politique - 1857/09/20 - pg 3 - col 3@RETRONEWS@https://www.retronews.fr/journal/la-semaine-politique/20-septembre-1857/3/b01d6d3c-4114-486f-ad2e-c8abbcc8af4f?search_text=ch%C3%A2tillon-sur-s%C3%A8vre
Canton Châtillon-sur-Sèvre - Mauléon@Séparation État Église@La Vérité - 1905/05/20 - Pg 2 - Col 1@RETRONEWS@https://www.retronews.fr/journal/la-verite/20-mai-1905/2/2b2ed3ee-9fd1-47ee-bf8a-7cde93defaaa?search_text=ch%C3%A2tillon-sur-s%C3%A8vre
Canton Châtillon-sur-Sèvre - Rorthais@44e régiment - brigands henriquinquistes - Confrontations@La Sémaphore de Marseille - 1832/09/25 - pg 2 - Col 4@RETRONEWS@https://www.retronews.fr/journal/le-semaphore-de-marseille/25-septembre-1832/2/0675d7ff-1737-45ef-954f-1aa2edfca972?search_text=ch%C3%A2tillon-sur-s%C3%A8vre
Canton Châtillon-sur-Sèvre@Billy - parricide - Condamnation à mort@Le Petit Provençal - 1931/06/17 - Pg 6 - Col 5@RETRONEWS@https://www.retronews.fr/journal/le-petit-provencal/17-juin-1931/6/4db0c534-3f00-4c3d-9cb0-9ddb571efbc2?search_text=ch%C3%A2tillon-sur-s%C3%A8vre
